id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
2535,2024-07-30 07:59:49.176224,7.2,3.0,5.8,1.6,2
2534,2024-07-30 07:59:48.147566,4.8,3.4,1.6,0.2,0
2533,2024-07-30 07:59:47.135335,6.9,3.1,5.1,2.3,2
2532,2024-07-30 07:59:46.120031,5.3,3.7,1.5,0.2,0
2531,2024-07-30 07:59:45.014789,6.4,2.8,5.6,2.1,2
2530,2024-07-30 07:59:43.968214,5.8,2.8,5.1,2.4,2
2529,2024-07-30 07:59:42.962103,6.3,2.5,5.0,1.9,2
2528,2024-07-30 07:59:41.953475,5.4,3.4,1.7,0.2,0
2527,2024-07-30 07:59:40.941846,5.5,3.5,1.3,0.2,0
2526,2024-07-30 07:59:39.927875,4.8,3.0,1.4,0.1,0
2525,2024-07-30 07:59:38.920648,5.6,2.7,4.2,1.3,1
2524,2024-07-30 07:59:37.916796,7.2,3.0,5.8,1.6,2
2523,2024-07-30 07:59:36.905557,6.0,2.2,4.0,1.0,1
2522,2024-07-30 07:59:35.901181,6.1,3.0,4.9,1.8,2
2521,2024-07-30 07:59:34.883001,5.9,3.2,4.8,1.8,1
2520,2024-07-30 07:59:33.877686,6.6,3.0,4.4,1.4,1
2519,2024-07-30 07:59:32.860407,5.5,2.6,4.4,1.2,1
2518,2024-07-30 07:59:31.852722,6.7,3.3,5.7,2.5,2
2517,2024-07-30 07:59:30.846903,5.5,4.2,1.4,0.2,0
2516,2024-07-30 07:59:29.826387,7.4,2.8,6.1,1.9,2
2515,2024-07-30 07:59:28.819725,6.2,2.8,4.8,1.8,2
2514,2024-07-30 07:59:27.808644,6.4,2.8,5.6,2.2,2
2513,2024-07-30 07:59:26.798794,4.5,2.3,1.3,0.3,0
2512,2024-07-30 07:59:25.779362,5.7,2.5,5.0,2.0,2
2511,2024-07-30 07:59:24.765005,5.2,3.5,1.5,0.2,0
2510,2024-07-30 07:59:23.759224,5.1,3.5,1.4,0.2,0
2509,2024-07-30 07:59:22.746707,7.2,3.2,6.0,1.8,2
2508,2024-07-30 07:59:21.739171,5.0,3.5,1.3,0.3,0
2507,2024-07-30 07:59:20.729005,4.4,3.0,1.3,0.2,0
2506,2024-07-30 07:59:19.713413,5.4,3.0,4.5,1.5,1
2505,2024-07-30 07:59:18.699823,5.1,3.7,1.5,0.4,0
2504,2024-07-30 07:59:17.694199,5.9,3.0,4.2,1.5,1
2503,2024-07-30 07:59:16.682187,6.3,2.8,5.1,1.5,2
2502,2024-07-30 07:59:15.670373,5.0,3.3,1.4,0.2,0
2501,2024-07-30 07:59:14.665290,5.6,3.0,4.5,1.5,1
2500,2024-07-30 07:59:13.661195,5.2,3.4,1.4,0.2,0
2499,2024-07-30 07:59:12.649933,5.6,2.9,3.6,1.3,1
2498,2024-07-30 07:59:11.644631,6.0,2.2,4.0,1.0,1
2497,2024-07-30 07:59:10.632613,4.6,3.4,1.4,0.3,0
2496,2024-07-30 07:59:09.611893,6.0,2.2,5.0,1.5,2
