id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
233,2024-07-30 07:21:04.974178,5.4,3.4,1.5,0.4,0
232,2024-07-30 07:21:03.969421,7.2,3.0,5.8,1.6,2
231,2024-07-30 07:21:02.961216,7.2,3.6,6.1,2.5,2
230,2024-07-30 07:21:01.954602,6.4,3.1,5.5,1.8,2
229,2024-07-30 07:21:00.942386,6.8,3.2,5.9,2.3,2
228,2024-07-30 07:20:59.915696,6.3,2.7,4.9,1.8,2
227,2024-07-30 07:20:58.908225,5.6,2.9,3.6,1.3,1
226,2024-07-30 07:20:57.899232,7.2,3.6,6.1,2.5,2
225,2024-07-30 07:20:56.891622,5.6,2.7,4.2,1.3,1
224,2024-07-30 07:20:55.878822,7.7,3.0,6.1,2.3,2
223,2024-07-30 07:20:54.858451,7.7,2.8,6.7,2.0,2
222,2024-07-30 07:20:53.801874,5.8,2.7,4.1,1.0,1
221,2024-07-30 07:20:52.796400,5.4,3.7,1.5,0.2,0
220,2024-07-30 07:20:51.776876,5.1,3.3,1.7,0.5,0
219,2024-07-30 07:20:50.771710,4.9,3.1,1.5,0.1,0
218,2024-07-30 07:20:49.767025,6.0,2.2,5.0,1.5,2
217,2024-07-30 07:20:48.761532,7.3,2.9,6.3,1.8,2
216,2024-07-30 07:20:47.757351,7.7,3.0,6.1,2.3,2
215,2024-07-30 07:20:46.752491,5.1,3.4,1.5,0.2,0
214,2024-07-30 07:20:45.747485,5.2,3.5,1.5,0.2,0
213,2024-07-30 07:20:44.733227,5.6,3.0,4.5,1.5,1
212,2024-07-30 07:20:43.724253,5.0,3.6,1.4,0.2,0
211,2024-07-30 07:20:42.720569,5.1,2.5,3.0,1.1,1
210,2024-07-30 07:20:41.715157,6.1,3.0,4.9,1.8,2
209,2024-07-30 07:20:40.708919,7.7,3.8,6.7,2.2,2
208,2024-07-30 07:20:39.705209,5.8,2.7,3.9,1.2,1
207,2024-07-30 07:20:38.701032,6.4,3.1,5.5,1.8,2
206,2024-07-30 07:20:37.696099,6.8,3.0,5.5,2.1,2
205,2024-07-30 07:20:36.689194,5.9,3.0,4.2,1.5,1
204,2024-07-30 07:20:35.678441,5.1,3.5,1.4,0.2,0
203,2024-07-30 07:20:34.600256,5.6,2.8,4.9,2.0,2
202,2024-07-30 07:20:33.596159,4.9,2.4,3.3,1.0,1
201,2024-07-30 07:20:32.592396,5.5,2.6,4.4,1.2,1
200,2024-07-30 07:20:31.588220,6.3,3.3,6.0,2.5,2
199,2024-07-30 07:20:30.583405,5.1,3.8,1.5,0.3,0
198,2024-07-30 07:20:29.578607,5.2,3.5,1.5,0.2,0
197,2024-07-30 07:20:28.573993,6.7,3.3,5.7,2.5,2
196,2024-07-30 07:20:27.559527,5.0,3.5,1.6,0.6,0
195,2024-07-30 07:20:26.554152,7.1,3.0,5.9,2.1,2
194,2024-07-30 07:20:25.549552,5.4,3.4,1.5,0.4,0
193,2024-07-30 07:20:24.545604,7.0,3.2,4.7,1.4,1
192,2024-07-30 07:20:23.541227,4.5,2.3,1.3,0.3,0
191,2024-07-30 07:20:22.487151,6.8,2.8,4.8,1.4,1
190,2024-07-30 07:20:21.480994,4.8,3.0,1.4,0.3,0
189,2024-07-30 07:20:20.476658,5.6,2.5,3.9,1.1,1
188,2024-07-30 07:20:19.471321,5.0,3.4,1.5,0.2,0
187,2024-07-30 07:20:18.462643,5.5,2.6,4.4,1.2,1
186,2024-07-30 07:20:17.457927,5.0,3.5,1.3,0.3,0
185,2024-07-30 07:20:16.453202,5.8,2.6,4.0,1.2,1
184,2024-07-30 07:20:15.448349,5.4,3.7,1.5,0.2,0
183,2024-07-30 07:20:14.443989,6.3,2.3,4.4,1.3,1
182,2024-07-30 07:20:13.434742,4.9,3.1,1.5,0.1,0
181,2024-07-30 07:20:12.430072,5.6,3.0,4.1,1.3,1
180,2024-07-30 07:20:11.425584,4.8,3.4,1.6,0.2,0
179,2024-07-30 07:20:10.421529,5.5,2.5,4.0,1.3,1
178,2024-07-30 07:20:09.416934,6.7,2.5,5.8,1.8,2
177,2024-07-30 07:20:08.411824,5.4,3.9,1.7,0.4,0
176,2024-07-30 07:20:07.407275,5.0,3.2,1.2,0.2,0
175,2024-07-30 07:20:06.402537,5.6,2.9,3.6,1.3,1
174,2024-07-30 07:20:05.398517,6.8,3.2,5.9,2.3,2
173,2024-07-30 07:20:04.390184,5.1,3.8,1.5,0.3,0
172,2024-07-30 07:20:03.384961,4.8,3.1,1.6,0.2,0
171,2024-07-30 07:20:02.380677,5.4,3.0,4.5,1.5,1
170,2024-07-30 07:20:01.376454,6.5,3.0,5.8,2.2,2
169,2024-07-30 07:20:00.371954,5.6,2.5,3.9,1.1,1
168,2024-07-30 07:19:59.363235,4.6,3.4,1.4,0.3,0
167,2024-07-30 07:19:58.358522,5.0,3.4,1.5,0.2,0
